Scenario	Row	Bay	RouteNumber	ContainerType	ContainerSize	ContainerContentType
82dc9210-2883-4000-84a6-1055cad5e8f5	3	2	2	Dry	FortyFoot	Corrosive
82dc9210-2883-4000-84a6-1055cad5e8f5	2	3	2	Refridgerated	TwentyFoot	General
82dc9210-2883-4000-84a6-1055cad5e8f5	3	3	3	Dry	TwentyFoot	Radioactive
f83c12ea-320e-4740-8ed9-10b96afc19b6	2	1	3	Refridgerated	FortyFoot	General
f83c12ea-320e-4740-8ed9-10b96afc19b6	3	1	2	Tank	TwentyFoot	Flammable
f83c12ea-320e-4740-8ed9-10b96afc19b6	2	2	3	Refridgerated	FortyFoot	General
f83c12ea-320e-4740-8ed9-10b96afc19b6	3	2	2	Tank	TwentyFoot	General
309fd338-fa3b-4f95-b976-110b0ea63629	3	1	2	Dry	FortyFoot	Corrosive
309fd338-fa3b-4f95-b976-110b0ea63629	3	2	2	Dry	FortyFoot	Corrosive
309fd338-fa3b-4f95-b976-110b0ea63629	2	3	2	Refridgerated	TwentyFoot	General
309fd338-fa3b-4f95-b976-110b0ea63629	3	3	3	Dry	TwentyFoot	Radioactive
ffa69d01-047b-43e1-a37a-11bc1a6de0e4	2	1	2	Dry	FortyFoot	Radioactive
ffa69d01-047b-43e1-a37a-11bc1a6de0e4	3	1	2	Dry	TwentyFoot	Radioactive
ffa69d01-047b-43e1-a37a-11bc1a6de0e4	2	2	2	Dry	FortyFoot	Radioactive
ffa69d01-047b-43e1-a37a-11bc1a6de0e4	3	2	3	Dry	TwentyFoot	Radioactive
256b41a5-13f4-43d0-a0a4-11c4c34d8ecf	1	1	2	Refridgerated	FortyFoot	General
256b41a5-13f4-43d0-a0a4-11c4c34d8ecf	2	1	3	Refridgerated	FortyFoot	Poison
256b41a5-13f4-43d0-a0a4-11c4c34d8ecf	3	1	3	Tank	FortyFoot	Flammable
256b41a5-13f4-43d0-a0a4-11c4c34d8ecf	1	2	2	Refridgerated	FortyFoot	General
256b41a5-13f4-43d0-a0a4-11c4c34d8ecf	2	2	3	Refridgerated	FortyFoot	Poison
256b41a5-13f4-43d0-a0a4-11c4c34d8ecf	3	2	3	Tank	FortyFoot	Flammable
2f0be0f6-febd-49fe-8fa1-122361060ba9	2	1	3	Refridgerated	FortyFoot	Corrosive
2f0be0f6-febd-49fe-8fa1-122361060ba9	3	1	3	Tank	FortyFoot	Flammable
2f0be0f6-febd-49fe-8fa1-122361060ba9	2	2	3	Refridgerated	FortyFoot	Corrosive
2f0be0f6-febd-49fe-8fa1-122361060ba9	3	2	3	Tank	FortyFoot	Flammable
2f0be0f6-febd-49fe-8fa1-122361060ba9	3	3	3	Refridgerated	TwentyFoot	Radioactive
45aba6ca-7352-439c-adf6-1237457f4253	2	1	2	Tank	FortyFoot	General
45aba6ca-7352-439c-adf6-1237457f4253	3	1	3	Dry	TwentyFoot	General
45aba6ca-7352-439c-adf6-1237457f4253	2	2	2	Tank	FortyFoot	General
45aba6ca-7352-439c-adf6-1237457f4253	3	2	2	Dry	TwentyFoot	Flammable
4980fad8-bc94-40a4-b9a7-1242032e8289	1	1	1	Refridgerated	FortyFoot	Poison
4980fad8-bc94-40a4-b9a7-1242032e8289	2	1	3	Tank	FortyFoot	Empty
4980fad8-bc94-40a4-b9a7-1242032e8289	3	1	3	Tank	FortyFoot	General
4980fad8-bc94-40a4-b9a7-1242032e8289	1	2	1	Refridgerated	FortyFoot	Poison
4980fad8-bc94-40a4-b9a7-1242032e8289	2	2	3	Tank	FortyFoot	Empty
4980fad8-bc94-40a4-b9a7-1242032e8289	3	2	3	Tank	FortyFoot	General
f0a9b17f-52c1-414a-9da9-124bae533cd0	2	1	2	Refridgerated	FortyFoot	Corrosive
f0a9b17f-52c1-414a-9da9-124bae533cd0	3	1	3	Dry	FortyFoot	Corrosive
f0a9b17f-52c1-414a-9da9-124bae533cd0	2	2	2	Refridgerated	FortyFoot	Corrosive
f0a9b17f-52c1-414a-9da9-124bae533cd0	3	2	3	Dry	FortyFoot	Corrosive
f0a9b17f-52c1-414a-9da9-124bae533cd0	3	3	3	Refridgerated	TwentyFoot	Poison
8f24e813-99e6-4151-a41a-130622aaffc8	3	1	3	Dry	FortyFoot	Corrosive
8f24e813-99e6-4151-a41a-130622aaffc8	3	2	3	Dry	FortyFoot	Corrosive
8f24e813-99e6-4151-a41a-130622aaffc8	2	3	2	Refridgerated	TwentyFoot	General
8f24e813-99e6-4151-a41a-130622aaffc8	3	3	3	Dry	TwentyFoot	Radioactive
a42af381-4197-4843-9548-13659bf923a5	2	1	2	Refridgerated	FortyFoot	Corrosive
a42af381-4197-4843-9548-13659bf923a5	3	1	2	Tank	FortyFoot	Flammable
a42af381-4197-4843-9548-13659bf923a5	2	2	2	Refridgerated	FortyFoot	Corrosive
a42af381-4197-4843-9548-13659bf923a5	3	2	2	Tank	FortyFoot	Flammable
a42af381-4197-4843-9548-13659bf923a5	3	3	2	Refridgerated	TwentyFoot	Radioactive
ecdd4610-7071-4058-b27e-13d7d6540331	2	1	1	Dry	FortyFoot	Flammable
ecdd4610-7071-4058-b27e-13d7d6540331	3	1	3	Dry	TwentyFoot	Radioactive
ecdd4610-7071-4058-b27e-13d7d6540331	2	2	1	Dry	FortyFoot	Flammable
ecdd4610-7071-4058-b27e-13d7d6540331	3	2	2	Dry	TwentyFoot	Corrosive
260badda-d6b2-45b6-96d6-13dd7a78f841	2	1	3	Dry	FortyFoot	Empty
260badda-d6b2-45b6-96d6-13dd7a78f841	3	1	3	Tank	FortyFoot	Empty
260badda-d6b2-45b6-96d6-13dd7a78f841	2	2	3	Dry	FortyFoot	Empty
260badda-d6b2-45b6-96d6-13dd7a78f841	3	2	3	Tank	FortyFoot	Empty
260badda-d6b2-45b6-96d6-13dd7a78f841	3	3	2	Dry	TwentyFoot	General
f7fd766c-a61e-415e-b5da-150c1b14368f	2	1	1	Dry	FortyFoot	Flammable
f7fd766c-a61e-415e-b5da-150c1b14368f	3	1	1	Dry	TwentyFoot	Radioactive
f7fd766c-a61e-415e-b5da-150c1b14368f	2	2	1	Dry	FortyFoot	Flammable
f7fd766c-a61e-415e-b5da-150c1b14368f	3	2	1	Tank	TwentyFoot	General
5fddf7b5-356a-49dd-8573-155c2b7b83ff	2	1	1	Dry	FortyFoot	Flammable
5fddf7b5-356a-49dd-8573-155c2b7b83ff	3	1	2	Dry	TwentyFoot	Radioactive
5fddf7b5-356a-49dd-8573-155c2b7b83ff	2	2	1	Dry	FortyFoot	Flammable
5fddf7b5-356a-49dd-8573-155c2b7b83ff	3	2	1	Tank	TwentyFoot	General
ba0b5985-2143-43c4-9ce9-157b7ae7caac	1	1	2	Refridgerated	FortyFoot	Empty
ba0b5985-2143-43c4-9ce9-157b7ae7caac	2	1	2	Dry	FortyFoot	Flammable
ba0b5985-2143-43c4-9ce9-157b7ae7caac	3	1	2	Dry	FortyFoot	Radioactive
ba0b5985-2143-43c4-9ce9-157b7ae7caac	1	2	2	Refridgerated	FortyFoot	Empty
ba0b5985-2143-43c4-9ce9-157b7ae7caac	2	2	2	Dry	FortyFoot	Flammable
ba0b5985-2143-43c4-9ce9-157b7ae7caac	3	2	2	Dry	FortyFoot	Radioactive
0dafaf66-13b5-4b1b-8a0f-15e04bf1e86a	1	1	1	Refridgerated	TwentyFoot	Poison
0dafaf66-13b5-4b1b-8a0f-15e04bf1e86a	2	1	2	Tank	FortyFoot	Flammable
0dafaf66-13b5-4b1b-8a0f-15e04bf1e86a	3	1	2	Tank	FortyFoot	Flammable
0dafaf66-13b5-4b1b-8a0f-15e04bf1e86a	2	2	2	Tank	FortyFoot	Flammable
0dafaf66-13b5-4b1b-8a0f-15e04bf1e86a	3	2	2	Tank	FortyFoot	Flammable
92ea5850-3755-4758-8155-163298052615	2	1	1	Dry	FortyFoot	Flammable
92ea5850-3755-4758-8155-163298052615	3	1	3	Dry	TwentyFoot	Radioactive
92ea5850-3755-4758-8155-163298052615	2	2	1	Dry	FortyFoot	Flammable
92ea5850-3755-4758-8155-163298052615	3	2	2	Dry	TwentyFoot	Corrosive
